SERIE	pre_stj1	count	cost
115222	2	488430	83066294
114222	1	2438136	103900945
1111412	1	528	30526
111118	2	3389	304358
114319	1	1552488	127218254
114222	2	424988	26126051
111270	2	32	498
111126	2	49	1069
11632	2	11	3100
1111412	2	49	3865
111134	1	4	152
114543	1	30814	8574233
114327	1	638410	22381948
114319	2	189417	14700181
11424	2	6	874
111142	1	1	8
111134	2	1	30
1146	2	53	5821
11457	1	69860	4375899
114551	1	23506	5330718
114543	2	29664	6103754
114327	2	261341	28824090
1154	1	481	80246
1111V	1	639	50302
1154	2	64637	9406752
11457	2	24416	1624339
114551	2	15039	3836082
1111V	2	49818	4008473
1111M	1	6374620	118
111119A	1	35740	3131093
1141125	2	254	24067
1111M	2	767298	0
1111D	1	180665	31295220
111183	1	145287	7896135
111119A	2	607	65905
115223	1	1616024	307403724
1111D	2	579	132713
111191	1	577516	64958819
111183	2	13113	286335
111119	1	1	5
115223	2	668211	114539528
114223	1	2991387	134927593
111191	2	5019	365839
1111413	1	125506	13372126
111127	1	1153774	105561939
1141141	2	53	16648
114143	2	4	1573
11425	1	3171686	0
114223	2	515107	30199376
1111413	2	12594	735164
111127	2	34971	1962967
114544	1	140156	52680817
11433	1	4093303	14
114311	1	967048	74318306
11425	2	552894	0
11721	2	6350	973519
114544	2	78806	24661291
11433	2	576196	0
114328	2	317	94528
114311	2	137833	7860818
111151	1	105247	18582168
114552	1	73	14176
1111W	1	366	17885
1155	2	44	4610
114552	2	145	25171
114111	1	73149	6082237
1111N	1	107505	15769205
111151	2	12599	1634910
111119B	1	35740	472271
1111W	2	4	115
11521	1	28	3395
